nid,field_ligacao_j,field_especificacao_j,field_referencia_j,field_numero_j,field_regiao_j,field_local_j,title,field_data_j,field_tempo_j,field_quantidade_j,field_producao_j,field_rolonum_j,field_tipo_video_j,field_numero_filme_j,field_pais_j,field_genero_j,field_idioma_original_j,field_legenda_j,field_versao_j,field_sistema_j,field_imagem_j,field_direcao_j,field_roteiro_j, field_fotografia_j,field_musica_j,field_elenco_j,field_premiacao_j
47101,80,Americas Preview - Programs 4 & 5.,31,31.0,,,Americas Preview - Programs 4 & 5,,,1.0,Mapa Filmes,,Comercial,31.0,Brasil,Documentário,Português,Não,,,Colorido,Eduardo Coutinho,,Eduardo Duarte (1964) e Edgar Moura (1981),Rogério Rossini,"João Mariano da Silva, trabalhadores da Usina de Açúcar da Galiléia","Tucano de Ouro, Rio de Janeiro; Prêmio da Crítica Internacional, Berlim; Grande Prêmio do Cinema do Real, Paris."
47102,80,Americas Preview - Programs 4 & 5.,31,31.0,,,Americas Preview - Programs 4 & 5,,,1.0,Mapa Filmes,,Comercial,31.0,Brasil,Documentário,Português,Não,,,Colorido,Eduardo Coutinho,,Eduardo Duarte (1964) e Edgar Moura (1981),Rogério Rossini,"João Mariano da Silva, trabalhadores da Usina de Açúcar da Galiléia","Tucano de Ouro, Rio de Janeiro; Prêmio da Crítica Internacional, Berlim; Grande Prêmio do Cinema do Real, Paris."
47103,126,Concurso: Professor Titular Prof. Shozo Motoyama.(Conclusão)  (*),7b),32.0,,,Concurso: Professor Titular. (*),24/08/90,,1.0,CAPH-USP,,Institucional,0.0,,,,Não,,,Colorido,,,,,,
47104,126,Concurso: Professor Titular Prof. Shozo Motoyama.(Conclusão)  (*),7b),32.0,,,Concurso: Professor Titular. (*),24/08/90,,1.0,CAPH-USP,,Institucional,0.0,,,,Não,,,Colorido,,,,,,
47105,127,"História do Brasil. Fundação Padre Anchieta - TV Cultura. (rolos 68-72, 75-78) (*)",25,34.0,,,História do Brasil. (*),,,1.0,CAPH-USP,,Institucional,0.0,,,,Não,,,Colorido,,,,,,
47106,127,"História do Brasil. Fundação Padre Anchieta - TV Cultura. (rolos 68-72, 75-78) (*)",25,34.0,,,História do Brasil. (*),,,1.0,CAPH-USP,,Institucional,0.0,,,,Não,,,Colorido,,,,,,
47107,128,América 92 - Raízes e Trajetórias. O Encontro de Dois Mundos. Para além dos Descobrimentos.,42,3.0,,,América 92 - Raízes e Trajetórias.,1992,,1.0,CAPH-USP,,Institucional,0.0,,,,Não,,,Colorido,,,,,,
47108,128,América 92 - Raízes e Trajetórias. O Encontro de Dois Mundos. Para além dos Descobrimentos.,42,3.0,,,América 92 - Raízes e Trajetórias.,1992,,1.0,CAPH-USP,,Institucional,0.0,,,,Não,,,Colorido,,,,,,
47109,155,Evento: IEB/IEA-USP. Graciliano Ramos. Memória e História. Mesa-Redonda.,100,,,,Evento.,22/10/92,,1.0,CAPH-USP,,Institucional,0.0,,,,Não,,,Colorido,,,,,,
47110,155,Evento: IEB/IEA-USP. Graciliano Ramos. Memória e História. Mesa-Redonda.,100,,,,Evento.,22/10/92,,1.0,CAPH-USP,,Institucional,0.0,,,,Não,,,Colorido,,,,,,
